##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	P1_R2.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	153338
Total Bases	29.2 Mbp
Sequences flagged as poor quality	0
Sequence length	42-250
%GC	55
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.21808031929463	37.0	37.0	37.0	37.0	37.0
2	36.875164668901384	37.0	37.0	37.0	37.0	37.0
3	36.73595586221289	37.0	37.0	37.0	37.0	37.0
4	36.726786576060725	37.0	37.0	37.0	37.0	37.0
5	36.89808136274113	37.0	37.0	37.0	37.0	37.0
6	36.89431191224615	37.0	37.0	37.0	37.0	37.0
7	36.73268204880721	37.0	37.0	37.0	37.0	37.0
8	36.70916537322777	37.0	37.0	37.0	37.0	37.0
9	36.75160755976992	37.0	37.0	37.0	37.0	37.0
10-14	36.836070641328305	37.0	37.0	37.0	37.0	37.0
15-19	36.72906128943901	37.0	37.0	37.0	37.0	37.0
20-24	36.86568104448995	37.0	37.0	37.0	37.0	37.0
25-29	36.802339928784775	37.0	37.0	37.0	37.0	37.0
30-34	36.78175794649728	37.0	37.0	37.0	37.0	37.0
35-39	36.75955992643702	37.0	37.0	37.0	37.0	37.0
40-44	36.54013667638677	37.0	37.0	37.0	37.0	37.0
45-49	36.4159969938557	37.0	37.0	37.0	37.0	37.0
50-54	36.656198084088935	37.0	37.0	37.0	37.0	37.0
55-59	36.75479091678015	37.0	37.0	37.0	37.0	37.0
60-64	36.766851240008904	37.0	37.0	37.0	37.0	37.0
65-69	36.79362771473584	37.0	37.0	37.0	37.0	37.0
70-74	36.397210290167045	37.0	37.0	37.0	37.0	37.0
75-79	36.727152533898966	37.0	37.0	37.0	37.0	37.0
80-84	36.742924208829706	37.0	37.0	37.0	37.0	37.0
85-89	36.6772933080257	37.0	37.0	37.0	37.0	37.0
90-94	36.66941439721975	37.0	37.0	37.0	37.0	37.0
95-99	36.704625156681296	37.0	37.0	37.0	37.0	37.0
100-104	36.42532607619519	37.0	37.0	37.0	37.0	37.0
105-109	36.51670401389718	37.0	37.0	37.0	37.0	37.0
110-114	36.47077813482183	37.0	37.0	37.0	37.0	37.0
115-119	36.38209215998431	37.0	37.0	37.0	37.0	37.0
120-124	36.4443640498645	37.0	37.0	37.0	37.0	37.0
125-129	36.46858328103166	37.0	37.0	37.0	37.0	37.0
130-134	36.4429984658979	37.0	37.0	37.0	37.0	37.0
135-139	36.39616722316437	37.0	37.0	37.0	37.0	37.0
140-144	36.49235835461786	37.0	37.0	37.0	37.0	37.0
145-149	36.59113972950492	37.0	37.0	37.0	37.0	37.0
150-154	36.54554264505747	37.0	37.0	37.0	37.0	37.0
155-159	36.503071107284754	37.0	37.0	37.0	37.0	37.0
160-164	36.49311492738362	37.0	37.0	37.0	37.0	37.0
165-169	35.92029547471459	37.0	37.0	37.0	34.6	37.0
170-174	36.23970653186446	37.0	37.0	37.0	37.0	37.0
175-179	36.41504115981655	37.0	37.0	37.0	37.0	37.0
180-184	36.13043058567971	37.0	37.0	37.0	37.0	37.0
185-189	35.798252381327245	37.0	37.0	37.0	34.6	37.0
190-194	35.95429426119814	37.0	37.0	37.0	34.6	37.0
195-199	36.29584596118913	37.0	37.0	37.0	37.0	37.0
200-204	36.32824570208327	37.0	37.0	37.0	37.0	37.0
205-209	36.30453309394598	37.0	37.0	37.0	37.0	37.0
210-214	36.060786134957695	37.0	37.0	37.0	37.0	37.0
215-219	35.265851834356795	37.0	37.0	37.0	29.8	37.0
220-224	36.08729026226443	37.0	37.0	37.0	34.6	37.0
225-229	35.583944192682125	37.0	37.0	37.0	29.8	37.0
230-234	35.64280357828231	37.0	37.0	37.0	32.2	37.0
235-239	34.30730448778806	37.0	34.6	37.0	29.4	37.0
240-244	35.11674605361572	37.0	34.6	37.0	31.8	37.0
245-249	35.63840689697774	37.0	37.0	37.0	34.6	37.0
250	33.96911987710971	37.0	37.0	37.0	25.0	37.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
2101	1	-0.21078927630529876
2101	2	-0.029983008783936782
2101	3	0.05364452037287748
2101	4	0.04706779211650769
2101	5	0.014342126393636079
2101	6	-0.006690638177609287
2101	7	-0.060127569112104595
2101	8	-0.073460914117085
2101	9	-0.04315965635413477
2101	10-14	-0.040297888200804266
2101	15-19	-0.06201603475130213
2101	20-24	0.007773153823130485
2101	25-29	-0.05793216248300581
2101	30-34	-0.0019768753656279614
2101	35-39	-0.006301848734636906
2101	40-44	-0.058071016093727224
2101	45-49	0.06500220464920403
2101	50-54	0.03517826215118447
2101	55-59	-0.020440551920827943
2101	60-64	-0.011209065245182614
2101	65-69	0.011606038965254584
2101	70-74	-0.08826852128540708
2101	75-79	0.01949576460889091
2101	80-84	0.029702940173706338
2101	85-89	-0.022466485285725923
2101	90-94	-0.05947076609189139
2101	95-99	0.022540134284362523
2101	100-104	-0.021764671555089876
2101	105-109	-0.010029958324466293
2101	110-114	-0.05723195754661958
2101	115-119	0.0019135554478282302
2101	120-124	0.0081261793096985
2101	125-129	-0.1319326954828739
2101	130-134	-0.04684458454403995
2101	135-139	-0.09055122833201068
2101	140-144	-0.05786328142184516
2101	145-149	-0.05277945920399674
2101	150-154	0.021584958397788512
2101	155-159	0.0026234103470983428
2101	160-164	-0.0497787873506752
2101	165-169	-0.30126043172904104
2101	170-174	-0.3989154091966043
2101	175-179	-0.02613415573757294
2101	180-184	-0.30506458780060797
2101	185-189	-0.1544582192656776
2101	190-194	-0.005792068204044654
2101	195-199	-0.10367810090597374
2101	200-204	-0.08812295750947641
2101	205-209	-0.2783506483810285
2101	210-214	-0.19120999141102857
2101	215-219	-0.13232628667051927
2101	220-224	-0.23581721946804635
2101	225-229	-0.11301341088489636
2101	230-234	-0.14871173240807423
2101	235-239	-0.7611216685371431
2101	240-244	-0.7380411204486634
2101	245-249	-0.24689206838262123
2101	250	-2.221622729540975
2102	1	0.08754636334990096
2102	2	-0.057763819339697875
2102	3	-0.08600940439448124
2102	4	-0.00422142064486053
2102	5	-0.028844067836750753
2102	6	-0.06361997162942856
2102	7	-0.045375572768364236
2102	8	0.021016185587953373
2102	9	-0.06974371861213058
2102	10-14	-0.03269726697502762
2102	15-19	-0.11383760584315894
2102	20-24	-0.022737495459367096
2102	25-29	-0.051064486112856855
2102	30-34	-0.011976071326813553
2102	35-39	-0.07927251824506243
2102	40-44	-0.18270194111921967
2102	45-49	-0.15346952915470524
2102	50-54	-0.11133703118937888
2102	55-59	-0.07645637414426432
2102	60-64	-0.0738286762873841
2102	65-69	-0.11010996451063448
2102	70-74	-0.10137411363180604
2102	75-79	-0.10462108086647248
2102	80-84	-0.11921404389312329
2102	85-89	-0.09626391465964446
2102	90-94	-0.17054936473090976
2102	95-99	-0.14810411432903692
2102	100-104	-0.1419380123784535
2102	105-109	-0.1701924701655173
2102	110-114	-0.22084713530064448
2102	115-119	-0.20574666270796627
2102	120-124	-0.11455027545041219
2102	125-129	-0.21403794711631718
2102	130-134	-0.2844617289172575
2102	135-139	-0.31451520830329827
2102	140-144	-0.23412342445582368
2102	145-149	-0.1963076877832819
2102	150-154	-0.08141669199417834
2102	155-159	-0.2447127538669065
2102	160-164	-0.11603686739469055
2102	165-169	-0.4365117726725032
2102	170-174	-0.34291812546671707
2102	175-179	-0.39829754454242305
2102	180-184	-0.4399119265435587
2102	185-189	-0.18882849158035242
2102	190-194	-0.32576782807201
2102	195-199	-0.41888405607032553
2102	200-204	-0.2713190447051872
2102	205-209	-0.2619791038892174
2102	210-214	-0.4649025715238082
2102	215-219	-0.40330001793168435
2102	220-224	-0.33311298346198726
2102	225-229	-0.2727567405506903
2102	230-234	-0.3690983711097715
2102	235-239	-1.1703905105121137
2102	240-244	-0.8847377577750279
2102	245-249	-0.5715955135758577
2102	250	-1.5268910522469952
2103	1	-0.3570794360998022
2103	2	0.0602642850187749
2103	3	-0.009607941086279936
2103	4	-0.13565846070447662
2103	5	-0.037509436681659736
2103	6	0.0659355102506538
2103	7	-0.013389083716255357
2103	8	-0.06482707268141041
2103	9	-0.06305058544938191
2103	10-14	-0.030372522501394883
