##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	P1_R1.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	153338
Total Bases	29.2 Mbp
Sequences flagged as poor quality	0
Sequence length	42-250
%GC	56
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	35.82067067524032	37.0	37.0	37.0	37.0	37.0
2	36.463068515306055	37.0	37.0	37.0	37.0	37.0
3	36.86574756420457	37.0	37.0	37.0	37.0	37.0
4	36.70238297095306	37.0	37.0	37.0	37.0	37.0
5	36.88227314820853	37.0	37.0	37.0	37.0	37.0
6	36.689339889655535	37.0	37.0	37.0	37.0	37.0
7	36.807249344585166	37.0	37.0	37.0	37.0	37.0
8	36.55880473202989	37.0	37.0	37.0	37.0	37.0
9	36.76191159399497	37.0	37.0	37.0	37.0	37.0
10-14	36.845164277608944	37.0	37.0	37.0	37.0	37.0
15-19	36.826840052694045	37.0	37.0	37.0	37.0	37.0
20-24	36.81608211923985	37.0	37.0	37.0	37.0	37.0
25-29	36.72754568339225	37.0	37.0	37.0	37.0	37.0
30-34	36.553370984361344	37.0	37.0	37.0	37.0	37.0
35-39	36.60717369471364	37.0	37.0	37.0	37.0	37.0
40-44	36.523973008478784	37.0	37.0	37.0	37.0	37.0
45-49	36.58233554577167	37.0	37.0	37.0	37.0	37.0
50-54	36.48499028102694	37.0	37.0	37.0	37.0	37.0
55-59	36.59397586049549	37.0	37.0	37.0	37.0	37.0
60-64	36.541019544729316	37.0	37.0	37.0	37.0	37.0
65-69	36.32838229960586	37.0	37.0	37.0	37.0	37.0
70-74	36.53879862652273	37.0	37.0	37.0	37.0	37.0
75-79	36.13241312814617	37.0	37.0	37.0	34.6	37.0
80-84	36.27574371471424	37.0	37.0	37.0	37.0	37.0
85-89	36.52810273107785	37.0	37.0	37.0	37.0	37.0
90-94	36.41590884553633	37.0	37.0	37.0	37.0	37.0
95-99	36.38366520274461	37.0	37.0	37.0	37.0	37.0
100-104	36.59036721671082	37.0	37.0	37.0	37.0	37.0
105-109	36.43822597831509	37.0	37.0	37.0	37.0	37.0
110-114	36.39244920552374	37.0	37.0	37.0	37.0	37.0
115-119	36.36321060204723	37.0	37.0	37.0	37.0	37.0
120-124	36.183822268576	37.0	37.0	37.0	37.0	37.0
125-129	36.23693619995322	37.0	37.0	37.0	37.0	37.0
130-134	36.50154562157963	37.0	37.0	37.0	37.0	37.0
135-139	36.41107507104717	37.0	37.0	37.0	37.0	37.0
140-144	36.277521726583096	37.0	37.0	37.0	37.0	37.0
145-149	36.397494304493875	37.0	37.0	37.0	37.0	37.0
150-154	36.51439165408355	37.0	37.0	37.0	37.0	37.0
155-159	35.83369805043238	37.0	37.0	37.0	34.6	37.0
160-164	35.882399280452674	37.0	37.0	37.0	34.6	37.0
165-169	36.05166321444225	37.0	37.0	37.0	37.0	37.0
170-174	36.322719460453484	37.0	37.0	37.0	37.0	37.0
175-179	36.11335290332177	37.0	37.0	37.0	37.0	37.0
180-184	36.286804173751094	37.0	37.0	37.0	37.0	37.0
185-189	36.059511238019844	37.0	37.0	37.0	37.0	37.0
190-194	36.43332349236341	37.0	37.0	37.0	37.0	37.0
195-199	36.21450535188755	37.0	37.0	37.0	37.0	37.0
200-204	35.54002420997727	37.0	37.0	37.0	34.6	37.0
205-209	35.48159797414465	37.0	37.0	37.0	32.2	37.0
210-214	34.8404838143989	37.0	34.6	37.0	29.4	37.0
215-219	34.8632745453114	37.0	37.0	37.0	27.4	37.0
220-224	35.228114204729984	37.0	37.0	37.0	29.8	37.0
225-229	35.348479127297196	37.0	37.0	37.0	29.8	37.0
230-234	32.889210176664534	37.0	29.8	37.0	19.0	37.0
235-239	34.921099188309896	37.0	34.6	37.0	32.2	37.0
240-244	34.8886244636038	37.0	37.0	37.0	29.8	37.0
245-249	32.809877995652606	37.0	34.6	37.0	19.4	37.0
250	35.1424348134571	37.0	37.0	37.0	25.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
2101	1	-0.07488529625631202
2101	2	0.03635776677601399
2101	3	0.008127053195728706
2101	4	0.013356399141677855
2101	5	-0.15311703561069834
2101	6	0.08720757897636133
2101	7	-0.0026761891036031216
2101	8	0.06983664370264364
2101	9	0.01817572186739369
2101	10-14	-0.06420235125443696
2101	15-19	-0.03598167250405737
2101	20-24	-0.06450299088355393
2101	25-29	-0.057628569870871615
2101	30-34	-0.13744094210026248
2101	35-39	-0.14400692424333528
2101	40-44	-0.1829784304348081
2101	45-49	-0.1371200519523228
2101	50-54	-0.21114111894272014
2101	55-59	-0.07448802667055787
2101	60-64	-0.14667225216647495
2101	65-69	-0.07057003441918397
2101	70-74	-0.12897145186011727
2101	75-79	-0.15724992048283326
2101	80-84	-0.12015967418699347
2101	85-89	-0.111595974381693
2101	90-94	-0.13388688089278844
2101	95-99	-0.1481000048694554
2101	100-104	-0.12975862638300129
2101	105-109	-0.038180726384055674
2101	110-114	-0.19557834885929282
2101	115-119	-0.09788351812018448
2101	120-124	-0.21515859886625321
2101	125-129	-0.17807891638560847
2101	130-134	-0.1461519012479613
2101	135-139	-0.16571166150548322
2101	140-144	-0.12440680484839106
2101	145-149	-0.05599902394877887
2101	150-154	-0.037914721840230925
2101	155-159	-0.16474534506757976
2101	160-164	-0.13205285038213788
2101	165-169	-0.14591103003382955
2101	170-174	-0.052353275605582894
2101	175-179	-0.22552211637007957
2101	180-184	-0.22324282696321518
2101	185-189	-0.05531659148247314
2101	190-194	-0.1170111401584748
2101	195-199	0.1114600696822663
2101	200-204	-0.01821205268656456
2101	205-209	-0.7236551300565282
2101	210-214	-0.2265255498775005
2101	215-219	-0.6961456933772254
2101	220-224	-0.06747533357415136
2101	225-229	-0.22160849673052496
2101	230-234	-1.2737504255289878
2101	235-239	-0.7385701035895949
2101	240-244	-0.4701168783431342
2101	245-249	-1.059545211950283
2101	250	0.021975136763643377
2102	1	0.015327858665045824
2102	2	-0.27539262572188505
2102	3	0.006925226758085046
2102	4	0.06506540479957579
2102	5	-0.09133638586269655
2102	6	0.12799012033146084
2102	7	-0.07413238803126632
2102	8	-0.005060841348580425
2102	9	-0.030054757974504298
2102	10-14	0.006534275252597865
2102	15-19	-0.03672951323666496
2102	20-24	0.006174221386928025
2102	25-29	-0.04947713973972867
2102	30-34	-0.11288407328131456
2102	35-39	-0.043265769728229486
2102	40-44	-0.040481424421443535
2102	45-49	-0.016579568598039884
2102	50-54	-0.09065881787457641
2102	55-59	-0.060192778206634046
2102	60-64	-0.06381798205359246
2102	65-69	-0.0186750252050345
2102	70-74	-0.04114698475915901
2102	75-79	-0.043174889889009194
2102	80-84	-0.04255455236912553
2102	85-89	-0.14242424055148462
2102	90-94	-0.09778857141656516
2102	95-99	-0.06175092044394859
2102	100-104	-0.005198947740339577
2102	105-109	0.10373535062099393
2102	110-114	-0.05323143576031697
2102	115-119	-0.031044934032010474
2102	120-124	0.0448613825445392
2102	125-129	-0.12257567773377076
2102	130-134	0.013536710794575413
2102	135-139	0.05847001829518916
2102	140-144	-0.2395067403738551
2102	145-149	-0.11552191240783571
2102	150-154	-0.0654324523366796
2102	155-159	-0.3258672019341162
2102	160-164	-0.1273204196922677
2102	165-169	-0.24282914737747774
2102	170-174	0.0851709023441245
2102	175-179	-0.10601212281753192
2102	180-184	-0.02831052522240185
2102	185-189	-0.062196024106583536
2102	190-194	-0.04436768432353233
2102	195-199	0.0186425326094124
2102	200-204	-0.0593596993661194
2102	205-209	-0.5421206361816076
2102	210-214	-0.6523927323404308
2102	215-219	-0.7726060415396958
2102	220-224	-0.2218273645219213
2102	225-229	-0.19989992161769976
2102	230-234	-1.1025834364896667
2102	235-239	-0.19998209585264703
2102	240-244	-0.40809237802076126
2102	245-249	-1.0827238064054754
2102	250	0.4505634771461331
2103	1	-0.807185098299982
2103	2	-0.019614060183300808
2103	3	-0.021995229236402736
2103	4	-0.04057955310622674
2103	5	-0.04469414544830386
2103	6	0.06111546214314245
2103	7	-0.07060163277267861
2103	8	0.020544218456059582
2103	9	0.10139361677293834
2103	10-14	-0.058014504993302296
2103	15-19	0.005535270738356246
2103	20-24	-0.058851749216565
2103	25-29	-0.03358930781048031
2103	30-34	-0.17208061393458252
2103	35-39	-0.11890554201436032
2103	40-44	-0.2984113137098845
2103	45-49	-0.1924961906343725
2103	50-54	-0.15608806605144565
2103	55-59	-0.18889327122521138
2103	60-64	-0.17332006277304401
2103	65-69	-0.19945810552223975
2103	70-74	-0.15570350108708197
