##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	P1_R2.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	105629
Total Bases	25.8 Mbp
Sequences flagged as poor quality	0
Sequence length	100-250
%GC	55
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.04609529579945	37.0	37.0	37.0	37.0	37.0
2	36.84828030181106	37.0	37.0	37.0	37.0	37.0
3	36.66664457677342	37.0	37.0	37.0	37.0	37.0
4	36.66592507739352	37.0	37.0	37.0	37.0	37.0
5	36.8733681091367	37.0	37.0	37.0	37.0	37.0
6	36.86210226358292	37.0	37.0	37.0	37.0	37.0
7	36.67474841189446	37.0	37.0	37.0	37.0	37.0
8	36.633566539491994	37.0	37.0	37.0	37.0	37.0
9	36.70176750702932	37.0	37.0	37.0	37.0	37.0
10-14	36.79389750920675	37.0	37.0	37.0	37.0	37.0
15-19	36.700974164292006	37.0	37.0	37.0	37.0	37.0
20-24	36.835442918138014	37.0	37.0	37.0	37.0	37.0
25-29	36.7574037432902	37.0	37.0	37.0	37.0	37.0
30-34	36.73447822094312	37.0	37.0	37.0	37.0	37.0
35-39	36.703795359229005	37.0	37.0	37.0	37.0	37.0
40-44	36.40740895019361	37.0	37.0	37.0	34.6	37.0
45-49	36.212693483797054	37.0	37.0	37.0	37.0	37.0
50-54	36.56111863219381	37.0	37.0	37.0	37.0	37.0
55-59	36.70101771293868	37.0	37.0	37.0	37.0	37.0
60-64	36.72896647700915	37.0	37.0	37.0	37.0	37.0
65-69	36.768311732573444	37.0	37.0	37.0	37.0	37.0
70-74	36.31904306582473	37.0	37.0	37.0	37.0	37.0
75-79	36.711690918213755	37.0	37.0	37.0	37.0	37.0
80-84	36.73057967035568	37.0	37.0	37.0	37.0	37.0
85-89	36.67510058790673	37.0	37.0	37.0	37.0	37.0
90-94	36.67138569900311	37.0	37.0	37.0	37.0	37.0
95-99	36.707184579992244	37.0	37.0	37.0	37.0	37.0
100-104	36.42811434724442	37.0	37.0	37.0	37.0	37.0
105-109	36.51988149939811	37.0	37.0	37.0	37.0	37.0
110-114	36.47408171647506	37.0	37.0	37.0	37.0	37.0
115-119	36.38539686551319	37.0	37.0	37.0	37.0	37.0
120-124	36.448004379835744	37.0	37.0	37.0	37.0	37.0
125-129	36.472238844968594	37.0	37.0	37.0	37.0	37.0
130-134	36.446017175867	37.0	37.0	37.0	37.0	37.0
135-139	36.39981123208336	37.0	37.0	37.0	37.0	37.0
140-144	36.49512025859894	37.0	37.0	37.0	37.0	37.0
145-149	36.59388289490765	37.0	37.0	37.0	37.0	37.0
150-154	36.54852664756962	37.0	37.0	37.0	37.0	37.0
155-159	36.505082281325016	37.0	37.0	37.0	37.0	37.0
160-164	36.49505479028246	37.0	37.0	37.0	37.0	37.0
165-169	35.92221453945085	37.0	37.0	37.0	34.6	37.0
170-174	36.241456293994595	37.0	37.0	37.0	37.0	37.0
175-179	36.41719440125272	37.0	37.0	37.0	37.0	37.0
180-184	36.132320954550906	37.0	37.0	37.0	37.0	37.0
185-189	35.80005315012943	37.0	37.0	37.0	34.6	37.0
190-194	35.956072402287425	37.0	37.0	37.0	34.6	37.0
195-199	36.29766292126689	37.0	37.0	37.0	37.0	37.0
200-204	36.33024981790263	37.0	37.0	37.0	37.0	37.0
205-209	36.30640342141582	37.0	37.0	37.0	37.0	37.0
210-214	36.06267524541688	37.0	37.0	37.0	37.0	37.0
215-219	35.26743313876229	37.0	37.0	37.0	29.8	37.0
220-224	36.08946352987498	37.0	37.0	37.0	34.6	37.0
225-229	35.58569634609144	37.0	37.0	37.0	29.8	37.0
230-234	35.64453281883687	37.0	37.0	37.0	32.2	37.0
235-239	34.30858301788766	37.0	34.6	37.0	29.4	37.0
240-244	35.11791272505341	37.0	34.6	37.0	31.8	37.0
245-249	35.63957203271159	37.0	37.0	37.0	34.6	37.0
250	33.96978233034571	37.0	37.0	37.0	25.0	37.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
2101	1	-0.2951554320796177
2101	2	-0.049222628445676264
2101	3	0.13491975426658342
2101	4	0.15232417836136136
2101	5	0.07601536091045347
2101	6	-0.061938684069275496
2101	7	-0.020003887009494292
2101	8	-0.008982897144157675
2101	9	0.007197541233090021
2101	10-14	-0.028170465981467885
2101	15-19	-0.015940105085157086
2101	20-24	-0.00434035806714661
2101	25-29	-0.07140708174248545
2101	30-34	0.034599122357775514
2101	35-39	0.02226513863532631
2101	40-44	-0.07896440079677092
2101	45-49	0.12055693979124982
2101	50-54	0.06934024923631199
2101	55-59	-0.01955506352563674
2101	60-64	0.03973432591285331
2101	65-69	0.022730241274651064
2101	70-74	-0.08107829265810551
2101	75-79	0.03678557947451111
2101	80-84	0.028497345369224547
2101	85-89	-0.0073997132124574705
2101	90-94	-0.04245633365790269
2101	95-99	0.027486448495132265
2101	100-104	-0.02208442480498718
2101	105-109	0.029791996757715822
2101	110-114	-0.044649596167381844
2101	115-119	0.02793380985098537
2101	120-124	0.013727517798130862
2101	125-129	-0.12318354567274525
2101	130-134	-0.01397470730393735
2101	135-139	-0.09597267517981578
2101	140-144	-0.022364176088998988
2101	145-149	-0.06569010643727324
2101	150-154	0.022749147001263736
2101	155-159	0.009783788874237587
2101	160-164	-0.03919350598145144
2101	165-169	-0.2585700645563236
2101	170-174	-0.37819395255173305
2101	175-179	-0.025125477502719207
2101	180-184	-0.3242007191606291
2101	185-189	-0.16312728311662994
2101	190-194	0.012252589921430967
2101	195-199	-0.08594582231707903
2101	200-204	-0.07133251585170797
2101	205-209	-0.27712114131638543
2101	210-214	-0.18545019306791488
2101	215-219	-0.16349702167151037
2101	220-224	-0.2534177788267158
2101	225-229	-0.11061858708178107
2101	230-234	-0.14192323289102404
2101	235-239	-0.7004021866123296
2101	240-244	-0.7331066603635819
2101	245-249	-0.25660768429750647
2101	250	-2.206326349891249
2102	1	0.1547518426824439
2102	2	-0.05011873800410882
2102	3	-0.06375938828114158
2102	4	0.030228246417465243
2102	5	-0.01920130270890752
2102	6	-0.09436740217048367
2102	7	-0.017114636908530656
2102	8	0.10912273528617078
2102	9	0.017155207088705993
2102	10-14	-0.0390186155956016
2102	15-19	-0.09038832461994417
2102	20-24	-0.01379130008725582
2102	25-29	-0.033129139097518134
2102	30-34	0.003262613126437941
2102	35-39	-0.06071018620438906
2102	40-44	-0.20464035070303765
2102	45-49	-0.20703499683009596
2102	50-54	-0.15787375418336325
2102	55-59	-0.10199031157318217
2102	60-64	-0.10163398918015787
2102	65-69	-0.1439204186517813
2102	70-74	-0.0934807704211238
2102	75-79	-0.10044335240709756
2102	80-84	-0.14053101870843676
2102	85-89	-0.09585898744408183
2102	90-94	-0.15369768650205629
2102	95-99	-0.14411170061668344
2102	100-104	-0.14329389141887816
2102	105-109	-0.13128873749501224
2102	110-114	-0.1862755768895994
2102	115-119	-0.1500147113264063
2102	120-124	-0.08651736324315351
2102	125-129	-0.17554214410747448
2102	130-134	-0.21349384947414762
2102	135-139	-0.28981712223032474
2102	140-144	-0.1681975094223347
2102	145-149	-0.18709162158879167
2102	150-154	-0.05012964087752181
2102	155-159	-0.2198753020348576
2102	160-164	-0.08699653628449511
2102	165-169	-0.3960700645563193
2102	170-174	-0.32383789194567214
2102	175-179	-0.3987618411390841
2102	180-184	-0.46101890097880727
2102	185-189	-0.1996045558438979
2102	190-194	-0.30975498583614325
2102	195-199	-0.40283976171101443
2102	200-204	-0.25591584918504395
2102	205-209	-0.26219689889214237
2102	210-214	-0.4612456476133673
2102	215-219	-0.4377394459139268
2102	220-224	-0.35258444549337753
2102	225-229	-0.2729291931423816
2102	230-234	-0.36491565713345864
2102	235-239	-1.1154400654002146
2102	240-244	-0.8839778724847918
2102	245-249	-0.5842213206611433
2102	250	-1.518434630420586
2103	1	-0.3127405178114202
2103	2	0.09436686858241217
2103	3	0.09600739322141294
2103	4	-0.08335763936516116
2103	5	-0.02465114148451164
2103	6	0.07073676111706817
2103	7	0.007461540808115785
2103	8	0.04241411351146951
2103	9	-0.03773678013445192
2103	10-14	-0.023597301968194984
