##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	P1_R2.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	101613
Total Bases	25.4 Mbp
Sequences flagged as poor quality	0
Sequence length	150-250
%GC	55
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
2103	15-19	-0.15243825345937267
2103	20-24	-0.05555457079956483
2103	25-29	-0.06920766292630276
2103	30-34	-0.013565828640246025
2103	35-39	-0.023125600143231395
2103	40-44	0.055050611233760094
2103	45-49	-0.1562981495860214
2103	50-54	0.11724948474520147
2103	55-59	0.05058439055868291
2103	60-64	-0.09151823313152363
2103	65-69	0.052827967013556076
2103	70-74	0.03012363816640118
2103	75-79	0.02198934989721124
2103	80-84	-0.009690098031121863
2103	85-89	0.09396283715312848
2103	90-94	0.051017614691851065
2103	95-99	-0.004897194806247285
2103	100-104	-0.006232371601520015
2103	105-109	-0.0805806834065379
2103	110-114	0.04455509161378046
2103	115-119	-0.07977830834233401
2103	120-124	0.011252302921654689
2103	125-129	-0.056293019191095084
2103	130-134	0.06207529358218267
2103	135-139	0.007314487402602765
2103	140-144	0.03722614080032827
2103	145-149	0.02931206566411504
2103	150-154	0.032618103170584334
2103	155-159	0.01957654695670641
2103	160-164	0.017221899650721184
2103	165-169	-0.05661846237715906
2103	170-174	-0.31260251894843094
2103	175-179	-0.1568058307483895
2103	180-184	-0.2997636626512943
2103	185-189	-0.07458698773998407
2103	190-194	-0.22430023264679022
2103	195-199	-0.18938948678087542
2103	200-204	-0.04269317253179139
2103	205-209	-0.13312787942479787
2103	210-214	-0.10689690627942383
2103	215-219	-0.17300492962664293
2103	220-224	-0.1270441856246194
2103	225-229	-0.003010235504262937
2103	230-234	-0.26408967803512695
2103	235-239	-0.39833139597448053
2103	240-244	-0.5116830623720361
2103	245-249	-0.0424964959391545
2103	250	-0.6748163248869261
2104	1	-0.3711243293759736
2104	2	-0.01856978838361556
2104	3	0.03737893467308595
2104	4	-0.3378325123722661
2104	5	-0.05006066127526054
2104	6	-0.08659282711679595
2104	7	-0.010121439379346953
2104	8	-0.1759239084323596
2104	9	-0.33557141744342545
2104	10-14	-0.07102078186140659
2104	15-19	-0.1700898214036286
2104	20-24	-0.05813645233266129
2104	25-29	-0.1698905897555676
2104	30-34	-0.07780624675870484
2104	35-39	-0.10056462453346882
2104	40-44	0.01674050670414573
2104	45-49	-0.017075153070337024
2104	50-54	0.021827881957747763
2104	55-59	-0.04585463383156707
2104	60-64	-0.07180046309667887
2104	65-69	-0.05087935005961697
2104	70-74	-0.12440249423777772
2104	75-79	-0.09973190445818858
2104	80-84	-0.16433121301370335
2104	85-89	-0.07463646598276341
2104	90-94	-0.15322280342661543
2104	95-99	-0.08692158505014191
2104	100-104	-0.0544658210788711
2104	105-109	-0.228179986542429
2104	110-114	-0.06024978643500134
2104	115-119	-0.005607576635014766
2104	120-124	-0.09220414307138469
2104	125-129	-0.24208744427820506
2104	130-134	-0.19698045554674337
2104	135-139	-0.21440676695279848
2104	140-144	-0.16971811007074677
2104	145-149	-0.023078178238328917
2104	150-154	-0.08951081669004424
