experiment,sample,category_type,category,read_count,input_total,percentage_of_input
2c_UMI,P22R1,Population,P1,60528,108423,55.82579342021526
2c_UMI,P22R1,QC,Short Reads,8090,108423,7.461516467908101
2c_UMI,P22R1,QC,Unmatched Reads,39805,108423,36.71269011187663
2c_UMI,P22R1,Summary,Total Distributed,108423,108423,100.0
2c_UMI,P22R2,Population,P2,45418,83065,54.677662071871424
2c_UMI,P22R2,QC,Short Reads,6663,83065,8.021429001384458
2c_UMI,P22R2,QC,Unmatched Reads,30984,83065,37.300908926744114
2c_UMI,P22R2,Summary,Total Distributed,83065,83065,100.0
